symbol,price_mean,volume_mean,market_mean,range_mean,vol_ratio_mean
AC3,0.12218317156862746,55911.48529411765,2467339.1666666665,0.017781406862745097,0.010562759284379039
ACAT,0.0045998958333333334,670262.0451388889,8927405.072916666,0.0007444409722222223,0.07080779022527131
ACC,0.08427751082251082,5723.0952380952385,255194.69696969696,0.02812128354978355,0.006250455988076658
ACDC,0.0013046393442622951,98484.48360655738,0.0,0.0002645655737704918,0.0
ACE,0.21804584866468846,413697.03264094953,1122247.9614243323,0.05186131750741839,0.3408743589090078
ACED,0.09198885365853658,3121.8536585365855,156061.53658536586,0.026566634146341462,0.019021774546217382
ACES,0.0002819798234552333,2190.5409836065573,0.0,0.00026554728877679695,0.0
ACM,0.05696810714285715,8638.535714285714,319606.25,0.012765767857142857,0.024324559841818326
ACOIN,0.042025781073446324,702.3531073446328,48995.878531073446,0.011391406779661016,0.039770522630149796
ACP,0.006265527508090615,1748.3325242718447,27173.61084142395,0.009390606796116505,0.06349482591005719
ACRE,0.14612425,9420.666666666666,244011.55833333332,0.053241775000000005,0.02592961106199402
ACT,0.19626277674418605,9422092.639534883,72285582.13023256,0.035124513953488375,0.09925844752821746
ACTP,1.3430769230769231e-05,4280.046153846154,54245.35384615385,5.138461538461538e-06,0.052046296264262465
